1,2,3,4,5,6,7,8,9,10,11,12,13,14,centre_pile,player_in_play,dices
96,92,98,98,92,104,99,102,98,96,102,97,91,103,32,12,"['L', 'L', 'd']"
96,92,98,98,92,104,99,102,98,96,102,98,89,103,33,13,"['C', 'L', 'd']"
97,92,98,97,92,104,99,102,98,96,102,98,89,102,34,14,"['C', 'R', 'pd']"
98,92,98,97,91,104,99,101,98,96,102,98,89,102,35,1,"['pd', 'pd', 'C']"
98,90,98,97,91,104,99,101,98,96,102,98,89,102,37,2,"['d', 'C', 'C']"
98,91,95,98,91,104,99,101,98,96,102,98,89,102,38,3,"['L', 'C', 'R']"
98,91,96,96,92,104,99,101,98,96,102,98,89,102,38,4,"['d', 'L', 'R']"
98,91,96,96,89,105,99,101,98,96,102,98,89,102,40,5,"['R', 'C', 'C']"
98,91,96,96,89,105,99,101,98,96,102,98,88,102,41,6,"['C', 'pd', 'd']"
98,91,96,96,89,105,97,103,98,96,102,98,88,102,41,7,"['R', 'd', 'R']"
98,91,96,96,89,105,97,102,98,96,102,98,88,102,42,8,"['d', 'd', 'C']"
98,91,96,96,89,105,97,102,96,97,102,98,88,102,43,9,"['C', 'd', 'R']"
98,91,96,96,89,105,97,102,96,99,102,97,88,101,43,10,"['pd', 'd', 'pd']"
98,91,96,96,89,105,97,102,96,99,101,97,88,101,44,11,"['C', 'd', 'd']"
98,91,96,96,89,105,97,102,96,99,101,95,88,101,46,12,"['C', 'C', 'd']"
98,91,96,96,89,105,97,102,96,99,101,96,86,102,46,13,"['L', 'd', 'R']"
98,91,96,96,89,105,96,102,96,99,101,96,87,101,47,14,"['pd', 'L', 'C']"
95,93,96,96,89,105,96,102,96,99,101,96,87,101,48,1,"['C', 'R', 'R']"
97,91,96,96,89,105,96,102,96,99,101,96,87,101,48,2,"['d', 'L', 'L']"
97,91,94,96,89,105,96,102,96,99,101,96,87,101,50,3,"['C', 'C', 'd']"
97,91,96,94,89,105,96,102,96,99,101,96,87,101,50,4,"['L', 'L', 'd']"
97,91,95,94,88,105,96,102,96,99,101,96,87,101,52,5,"['pd', 'C', 'C']"
97,91,95,94,89,105,96,102,95,99,101,96,87,101,52,6,"['L', 'd', 'pd']"
97,91,94,94,89,105,97,102,95,99,101,96,87,101,52,7,"['d', 'pd', 'd']"
97,91,94,94,89,105,97,99,96,99,101,96,87,101,54,8,"['C', 'C', 'R']"
97,91,94,94,89,105,97,100,95,99,101,96,87,101,54,9,"['d', 'd', 'L']"
97,91,94,94,89,105,97,100,95,101,101,96,86,100,54,10,"['pd', 'd', 'pd']"
96,91,94,94,89,105,97,100,95,101,101,97,86,100,54,11,"['pd', 'd', 'R']"
95,91,94,94,89,105,97,100,95,101,101,96,86,100,56,12,"['C', 'pd', 'C']"
95,90,94,94,89,105,97,100,94,101,101,96,87,101,56,13,"['pd', 'R', 'pd']"
95,90,94,94,89,105,97,100,94,101,101,95,88,101,56,14,"['d', 'pd', 'L']"
94,90,94,94,89,105,97,100,94,101,101,95,88,101,57,1,"['C', 'd', 'd']"
95,87,95,94,89,105,97,100,94,101,101,95,88,101,58,2,"['L', 'C', 'R']"
95,87,96,94,89,105,97,100,94,101,101,95,87,101,58,3,"['pd', 'd', 'd']"
95,87,97,94,89,105,97,100,94,101,100,95,87,101,58,4,"['pd', 'd', 'L']"
95,87,97,94,87,105,97,100,94,101,100,95,87,101,60,5,"['C', 'd', 'C']"
95,87,97,94,87,104,97,100,94,101,100,95,87,101,61,6,"['C', 'd', 'd']"
95,87,97,94,87,104,97,100,94,101,100,94,87,101,62,7,"['d', 'pd', 'C']"
95,87,97,93,87,104,97,101,94,101,100,94,86,101,63,8,"['pd', 'C', 'pd']"
95,87,97,93,87,104,97,102,91,102,100,94,86,101,64,9,"['C', 'R', 'L']"
95,87,97,93,87,104,97,102,91,101,100,94,86,101,65,10,"['d', 'd', 'C']"
95,87,97,93,87,104,97,102,91,101,101,94,86,100,65,11,"['d', 'd', 'pd']"
95,87,97,93,87,104,96,101,91,101,101,95,87,100,65,12,"['pd', 'pd', 'R']"
95,87,97,93,87,104,96,101,91,101,101,96,85,101,65,13,"['d', 'L', 'R']"
95,87,97,93,87,104,96,101,91,101,101,96,86,99,66,14,"['L', 'd', 'C']"
93,88,97,93,87,104,96,101,91,101,101,96,86,99,67,1,"['R', 'd', 'C']"
94,87,97,93,87,104,96,101,91,101,101,96,86,99,67,2,"['d', 'L', 'd']"
94,87,97,94,87,104,95,101,91,101,101,96,86,99,67,3,"['R', 'd', 'pd']"
93,87,97,93,89,104,95,101,91,101,101,96,86,99,67,4,"['R', 'pd', 'R']"
93,87,97,95,86,104,95,101,91,101,101,96,86,99,68,5,"['C', 'L', 'L']"
93,87,97,95,87,102,96,101,91,101,101,96,86,99,68,6,"['d', 'L', 'R']"
93,87,97,95,87,103,94,101,91,101,101,96,86,99,69,7,"['d', 'L', 'C']"
93,87,97,95,87,103,94,101,91,101,101,96,86,99,69,8,"['d', 'd', 'd']"
93,87,97,95,87,103,94,102,89,102,101,96,86,99,69,9,"['L', 'R', 'd']"
93,87,97,95,87,103,94,102,89,102,101,96,86,99,69,10,"['d', 'd', 'd']"
93,87,97,95,87,103,94,102,89,102,100,96,86,99,70,11,"['d', 'd', 'C']"
93,87,97,94,87,103,94,102,89,102,100,95,87,99,71,12,"['pd', 'R', 'C']"
93,87,97,94,87,103,94,102,89,102,100,96,86,99,71,13,"['L', 'd', 'd']"
93,87,97,94,87,103,94,102,89,102,100,96,88,97,71,14,"['L', 'L', 'd']"
92,88,97,94,87,103,94,102,89,102,100,96,88,97,71,1,"['d', 'd', 'R']"
93,87,97,94,87,103,94,102,89,102,100,96,87,97,72,2,"['C', 'L', 'pd']"
93,87,95,95,87,103,94,102,89,102,100,96,87,97,73,3,"['d', 'R', 'C']"
93,87,95,93,87,103,94,102,89,102,100,96,87,97,75,4,"['d', 'C', 'C']"
93,86,94,93,89,103,94,102,89,102,100,96,87,97,75,5,"['pd', 'pd', 'd']"
93,86,93,93,89,103,95,102,89,102,100,96,87,97,75,6,"['pd', 'd', 'R']"
93,86,93,93,89,103,94,103,89,102,100,96,86,97,76,7,"['R', 'pd', 'C']"
93,86,93,93,89,103,95,102,89,102,100,96,86,97,76,8,"['L', 'd', 'd']"
93,86,93,93,89,103,95,102,90,102,100,96,86,96,76,9,"['d', 'pd', 'd']"
93,86,93,93,89,103,95,102,92,99,101,96,86,96,76,10,"['L', 'R', 'L']"
93,86,93,93,89,103,95,102,91,99,101,97,86,96,76,11,"['pd', 'd', 'R']"
93,86,93,93,89,103,95,102,91,99,103,95,86,96,76,12,"['L', 'L', 'd']"
93,86,93,93,89,103,95,102,91,99,103,96,84,96,77,13,"['C', 'd', 'L']"
93,86,93,93,89,103,95,102,91,99,103,96,84,94,79,14,"['C', 'd', 'C']"
93,86,93,92,89,103,95,102,91,99,103,96,84,94,80,1,"['C', 'pd', 'd']"
93,85,93,92,89,103,95,102,91,99,103,96,84,94,81,2,"['C', 'd', 'd']"
93,85,91,93,89,103,95,102,91,99,103,96,84,94,82,3,"['d', 'C', 'R']"
93,85,91,91,91,103,95,102,91,99,103,96,84,94,82,4,"['R', 'd', 'R']"
93,85,91,91,89,105,95,102,91,99,103,96,84,94,82,5,"['R', 'R', 'd']"
93,85,91,91,89,106,95,102,91,99,103,95,84,94,82,6,"['d', 'd', 'pd']"
93,85,91,91,89,106,93,103,91,99,103,95,84,94,83,7,"['C', 'R', 'd']"
93,85,91,91,89,106,93,102,91,99,103,95,84,94,84,8,"['d', 'd', 'C']"
93,85,91,90,89,106,93,102,91,100,103,95,84,94,84,9,"['d', 'pd', 'R']"
93,85,91,90,88,106,93,102,91,100,103,95,84,94,85,10,"['pd', 'C', 'd']"
93,85,91,90,88,106,93,102,91,102,101,95,84,94,85,11,"['L', 'L', 'd']"
93,85,90,90,88,106,93,102,91,102,101,95,85,94,85,12,"['pd', 'd', 'R']"
92,85,90,90,88,106,93,102,91,102,101,95,85,95,85,13,"['pd', 'd', 'R']"
92,84,90,89,88,106,93,102,91,102,101,95,85,97,85,14,"['pd', 'pd', 'd']"
90,84,90,89,88,106,93,102,91,102,101,95,85,98,86,1,"['d', 'L', 'C']"
90,84,90,89,88,105,93,102,91,102,101,95,85,98,87,2,"['pd', 'C', 'd']"
90,86,87,89,88,105,93,102,91,102,101,95,85,98,88,3,"['C', 'L', 'L']"
90,85,87,91,88,105,92,102,91,102,101,95,85,98,88,4,"['pd', 'pd', 'd']"
90,85,87,91,87,107,92,102,91,102,101,95,84,98,88,5,"['pd', 'R', 'R']"
90,85,87,91,87,105,94,102,91,102,101,95,84,98,88,6,"['d', 'R', 'R']"
90,85,87,91,87,105,91,104,91,102,101,95,84,98,89,7,"['R', 'C', 'R']"
90,84,87,90,87,105,91,105,91,102,101,95,84,98,90,8,"['C', 'pd', 'pd']"
90,84,87,90,87,105,91,106,88,103,101,95,84,98,91,9,"['C', 'L', 'R']"
90,84,87,90,87,105,91,106,88,102,102,95,84,98,91,10,"['d', 'R', 'd']"
90,84,87,90,87,105,91,106,88,103,99,96,84,98,92,11,"['L', 'R', 'C']"
90,84,87,90,87,105,91,106,88,103,99,95,85,98,92,12,"['d', 'd', 'R']"
90,84,87,90,87,105,91,106,87,103,99,95,86,98,92,13,"['pd', 'd', 'd']"
91,83,87,90,87,105,91,106,87,103,99,95,86,98,92,14,"['pd', 'd', 'R']"
93,83,87,89,87,104,91,106,87,103,99,95,86,98,92,1,"['d', 'pd', 'pd']"
95,80,88,89,87,104,91,106,87,103,99,95,86,98,92,2,"['R', 'L', 'L']"
95,80,86,89,87,104,91,106,87,103,99,95,86,98,94,3,"['d', 'C', 'C']"
95,80,86,89,87,104,91,106,87,103,99,94,86,98,95,4,"['C', 'd', 'pd']"
95,80,86,91,84,104,91,106,87,103,99,94,86,98,96,5,"['L', 'L', 'C']"
